show_id,type,title,director,date_added,release_year,rating,duration
s70,Movie,14 Cameras,"Scott Hussion, Seth Fuller",27-Oct-18,2018,TV-MA,89 min
s71,Movie,14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",1-Feb-19,2016,TV-MA,84 min
s72,Movie,16 Blocks,Richard Donner,1-Nov-19,2006,PG-13,102 min
s73,Movie,17 Again,Burr Steers,1-Jan-21,2009,PG-13,102 min
s74,Movie,18 Presents,Francesco Amato,8-May-20,2020,TV-MA,114 min
s75,Movie,1898: Our Last Men in the Philippines,Salvador Calvo,2-Jun-17,2016,R,130 min
s76,Movie,1BR,David Marmor,23-Aug-20,2019,TV-MA,90 min
s77,Movie,1st Summoning,Raymond Wood,26-Jul-19,2018,TV-MA,94 min
s78,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",1-Jun-20,2008,TV-MA,97 min
s79,Movie,2 States,Abhishek Varman,4-Aug-18,2014,TV-PG,143 min
s80,Movie,20 Feet From Stardom,Morgan Neville,22-Sep-18,2013,PG-13,91 min
s81,TV Show,20 Minutes,,15-Aug-17,2013,TV-MA,1 Season
s82,Movie,2015 Dream Concert,,28-Apr-17,2015,TV-PG,107 min
s83,Movie,2036 Origin Unknown,Hasraf Dulull,20-Dec-18,2018,TV-14,95 min
s84,Movie,20th Century Women,Mike Mills,28-Jun-19,2016,R,119 min
s85,Movie,21 & Over,"Jon Lucas, Scott Moore",16-Apr-19,2013,R,93 min
s86,TV Show,21 Again,,1-Jul-20,2019,TV-MA,1 Season
s87,TV Show,21 Sarfarosh: Saragarhi 1897,,1-Dec-18,2018,TV-14,1 Season
s88,TV Show,21 Thunder,,1-Mar-18,2017,TV-MA,1 Season
s89,Movie,2307: Winter's Dream,Joey Curtis,1-Mar-18,2016,TV-MA,101 min
s90,Movie,24 Hours to Live,Brian Smrz,7-Apr-18,2017,R,93 min
s91,Movie,25 Kille,Simranjit Singh Hundal,1-Oct-18,2016,TV-14,140 min
s92,Movie,26 Years,Geun-hyun Cho,1-Oct-17,2012,TV-MA,135 min
s93,Movie,"27, el club de los malditos",Nicanor Loreti,1-May-18,2018,TV-MA,82 min
s94,Movie,27: Gone Too Soon,Simon Napier-Bell,1-May-18,2017,TV-MA,70 min
s95,Movie,28 Days,Betty Thomas,30-Sep-20,2000,PG-13,104 min
s96,TV Show,28 Moons,,10-Jun-17,2016,TV-PG,1 Season
s97,Movie,3 Days to Kill,McG,1-Dec-20,2014,PG-13,117 min
s98,Movie,3 Deewarein,Nagesh Kukunoor,31-Dec-19,2003,TV-MA,121 min
s99,Movie,3 Generations,Gaby Dellal,28-Aug-17,2015,PG-13,92 min
s100,Movie,3 Heroines,Iman Brotoseno,5-Jan-19,2016,TV-PG,124 min
s101,Movie,3 Idiots,Rajkumar Hirani,1-Aug-19,2009,PG-13,164 min
s102,Movie,3 Seconds Divorce,Shazia Javed,15-Jun-19,2018,TV-PG,53 min
s103,Movie,3 Türken & ein Baby,Sinan Akkuş,15-Dec-16,2015,TV-MA,93 min
s104,Movie,30 Days of Luxury,Hani Hamdi,18-Apr-19,2016,TV-14,91 min
s105,Movie,30 Minutes or Less,Ruben Fleischer,1-Jan-21,2011,R,83 min
s106,Movie,300 Miles to Heaven,Maciej Dejczer,1-Oct-19,1989,TV-14,93 min
s107,Movie,365 Days,"Barbara Białowąs, Tomasz Mandes",7-Jun-20,2020,TV-MA,114 min
s108,Movie,37 Seconds,Hikari,31-Jan-20,2020,TV-MA,116 min
s109,TV Show,3Below: Tales of Arcadia,,12-Jul-19,2019,TV-Y7,2 Seasons
s110,Movie,40 Sticks,Victor Gatonye,20-Nov-20,2019,TV-14,93 min
s111,Movie,42 Grams,Jack C. Newell,1-Feb-18,2017,TV-MA,81 min
s112,TV Show,44 Cats,,1-Oct-20,2018,TV-Y7,2 Seasons
s113,TV Show,45 rpm,,16-Aug-19,2019,TV-MA,1 Season
s114,Movie,48 Christmas Wishes,"Marco Deufemia, Justin G. Dyck",20-Dec-17,2017,TV-G,84 min
s115,Movie,4L,Gerardo Olivares,12-Jul-19,2019,TV-MA,105 min
s116,Movie,4th Man Out,Andrew Nackman,5-May-16,2015,NR,86 min
s117,Movie,4th Republic,Ishaya Bako,13-Jun-20,2019,TV-MA,120 min
s118,Movie,5 Cowok Jagoan,Anggy Umbara,5-Jan-19,2017,TV-MA,106 min
s119,Movie,5 Flights Up,Richard Loncraine,17-Mar-19,2014,PG-13,92 min
s120,Movie,5 Star Christmas,Marco Risi,7-Dec-18,2018,TV-14,96 min
s121,Movie,5 to 7,Victor Levin,16-Mar-17,2014,R,97 min
s122,Movie,50 First Dates,Peter Segal,1-Dec-20,2004,PG-13,99 min
s123,Movie,50/50,Jonathan Levine,1-Jun-19,2011,R,100 min
s124,Movie,5CM,Rizal Mantovani,28-Sep-18,2012,TV-14,126 min
s125,Movie,5Gang,Matei Dima,27-Apr-20,2019,TV-14,96 min
s126,Movie,6 Balloons,Marja Lewis Ryan,6-Apr-18,2018,TV-MA,75 min
s127,Movie,6 Days,Toa Fraser,8-Feb-18,2017,R,94 min
s128,Movie,6 Underground,Michael Bay,13-Dec-19,2019,R,129 min
s129,Movie,6 Years,Hannah Fidell,8-Sep-15,2015,TV-MA,80 min
s130,Movie,6-5=2,Bharat Jain,1-Nov-17,2014,TV-MA,103 min
s131,TV Show,60 Days In,,1-Nov-20,2019,TV-MA,1 Season
s132,Movie,68 Kill,Trent Haaga,1-Sep-19,2017,R,96 min
s133,TV Show,7 (Seven),Nizar Shafi,30-Jul-19,2019,TV-14,1 Season
s134,Movie,7 años,Roger Gual,27-Oct-16,2016,TV-MA,77 min
s135,TV Show,7 Days Out,,21-Dec-18,2018,TV-PG,1 Season
s136,Movie,7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi",15-May-19,2018,TV-PG,137 min
s137,Movie,7 Khoon Maaf,Vishal Bhardwaj,2-Aug-18,2011,TV-MA,148 min
s138,TV Show,72 Cutest Animals,,1-Jun-16,2016,TV-PG,1 Season
s139,TV Show,72 Dangerous Animals: Asia,,10-Aug-18,2018,TV-14,1 Season
s140,TV Show,72 Dangerous Animals: Latin America,,22-Dec-17,2017,TV-14,1 Season
s141,TV Show,72 Dangerous Places to Live,,1-Jun-16,2016,TV-PG,1 Season
s142,TV Show,7SEEDS,,26-Mar-20,2020,TV-MA,2 Seasons
s143,TV Show,9 Months That Made You,,1-Mar-17,2016,TV-PG,1 Season
s144,Movie,90 ML,Anita Udeep,13-Aug-19,2019,TV-MA,123 min
s145,Movie,93 Days,Steve Gukas,5-Mar-20,2016,TV-PG,121 min
s146,Movie,A 2nd Chance,Clay Glen,1-Jul-17,2011,PG,95 min
s147,Movie,A 3 Minute Hug,Everardo González,28-Oct-19,2019,TV-PG,28 min
s148,Movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,15-Oct-20,2020,TV-PG,99 min
s149,Movie,A Bad Moms Christmas,"Jon Lucas, Scott Moore",14-Feb-20,2017,R,104 min
s150,Movie,A Beautiful Life,Andrew Lau Wai-Keung,1-Dec-18,2011,TV-14,122 min
s151,Movie,A Billion Colour Story,Padmakumar Narasimhamurthy,1-Apr-18,2016,TV-14,104 min
s152,Movie,A Boy Called Po,John Asher,15-Jan-18,2016,PG,94 min
s153,TV Show,A Boy Name Flora A,,1-Sep-17,2017,TV-MA,1 Season
s154,Movie,A Bridge Too Far,Richard Attenborough,1-Jul-20,1977,PG,176 min
s155,Movie,A California Christmas,Shaun Paul Piccinino,14-Dec-20,2020,PG-13,107 min
s156,Movie,A Champion Heart,David de Vos,14-Apr-20,2018,G,90 min
s157,Movie,A Chaster Marriage,Umut Kirca,2-Oct-20,2016,TV-14,94 min
s158,Movie,A Choo,"Kevin Ko, Peter Tsi",14-Oct-20,2020,TV-14,101 min
s159,Movie,A Christmas Catch,,4-Nov-20,2018,TV-G,87 min
s160,Movie,A Christmas Prince,Alex Zamm,17-Nov-17,2017,TV-PG,92 min
s161,Movie,A Christmas Prince: The Royal Baby,John Schultz,5-Dec-19,2019,TV-PG,85 min
s162,Movie,A Christmas Prince: The Royal Wedding,John Schultz,30-Nov-18,2018,TV-PG,93 min
s163,Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,20-Dec-16,2016,TV-Y7,22 min
s164,Movie,A Cinderella Story,Mark Rosman,1-Jan-20,2004,PG,95 min
s165,Movie,A Cinderella Story: Christmas Wish,Michelle Johnston,1-Dec-19,2019,PG,86 min
s166,Movie,A Clockwork Orange,Stanley Kubrick,1-Nov-20,1971,R,137 min
s167,Movie,A Dangerous Woman,Stephen Gyllenhaal,1-Apr-18,1993,R,101 min
s168,Movie,A Fairly Odd Summer,Savage Steve Holland,2-Nov-19,2014,TV-Y7,68 min
s169,Movie,A Fall from Grace,Tyler Perry,17-Jan-20,2020,TV-MA,121 min
s170,Movie,A Family Affair,Tom Fassaert,16-Oct-16,2015,TV-PG,111 min
s171,Movie,A Family Man,Mark Williams,15-Dec-19,2016,R,110 min
s172,Movie,A Family Reunion Christmas,Robbie Countryman,9-Dec-19,2019,TV-PG,29 min
s173,Movie,A Flying Jatt,Remo D'Souza,15-Nov-17,2016,TV-14,142 min
s174,Movie,A Fortunate Man,Bille August,20-Apr-19,2018,TV-MA,168 min
s175,Movie,A Futile and Stupid Gesture,David Wain,26-Jan-18,2018,TV-MA,102 min
s176,Movie,A Ghost Story,David Lowery,7-Jan-20,2017,R,92 min
s177,Movie,A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,15-Jul-18,2012,R,86 min
s178,Movie,A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo",27-Nov-20,2020,TV-Y,22 min
s179,Movie,A Go! Go! Cory Carson Halloween,"Alex Woo, Stanley Moore",2-Oct-20,2020,TV-Y,22 min
s180,Movie,A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo",4-Aug-20,2020,TV-Y,21 min
s181,TV Show,A Good Wife,,1-Jan-17,2013,TV-14,1 Season
s182,Movie,A Grand Night In: The Story of Aardman,Richard Mears,1-Nov-16,2015,TV-PG,59 min
s183,Movie,A Gray State,Erik Nelson,25-Dec-17,2017,TV-MA,93 min
s184,Movie,A Haunted House,Michael Tiddes,21-Feb-20,2013,R,86 min
s185,Movie,A Haunting at Silver Falls: The Return,Teo Konuralp,17-Sep-19,2019,TV-14,80 min
s186,Movie,A Heavy Heart,Thomas Stuber,15-Feb-17,2015,TV-MA,109 min
s187,Movie,A Holiday Engagement,Jim Fall,4-Nov-19,2011,TV-G,92 min
s188,Movie,A Home with A View,Herman Yau,30-Apr-19,2019,TV-MA,92 min
s189,TV Show,A House of Blocks,,1-Sep-17,2017,TV-PG,1 Season
s190,Movie,A Kid from Coney Island,"Coodie, Chike",6-Jul-20,2019,TV-MA,89 min
s191,Movie,A Kind of Murder,Andy Goddard,1-May-17,2016,R,96 min
s192,TV Show,A Korean Odyssey,,5-Mar-19,2017,TV-MA,1 Season
s193,Movie,A Land Imagined,Yeo Siew Hua,13-Apr-19,2019,TV-MA,95 min
s194,Movie,A Leaf of Faith,Chris Bell,27-Aug-18,2018,TV-MA,87 min
s195,Movie,A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,20-Mar-20,2020,TV-14,93 min
s196,TV Show,A Lion in the House,"Steven Bognar, Julia Reichert",10-Nov-20,2006,TV-14,1 Season
s197,Movie,A Little Chaos,Alan Rickman,17-Apr-19,2014,R,113 min
s198,TV Show,A Little Help with Carol Burnett,,4-May-18,2018,TV-G,1 Season
s199,TV Show,A Little Thing Called First Love,,26-Oct-19,2019,TV-G,1 Season
s200,TV Show,A Love So Beautiful,,28-Dec-20,2020,TV-PG,1 Season
s201,Movie,A Love Song for Latasha,Sophia Nahli Allison,21-Sep-20,2020,TV-PG,20 min
s202,Movie,A Love Story,Maryo J. De los Reyes,14-Mar-19,2007,TV-14,117 min
s203,TV Show,A Man Called God,,12-Mar-19,2010,TV-14,1 Season
s204,Movie,A Mighty Team,Thomas Sorriaux,15-Oct-16,2016,TV-MA,97 min
s205,Movie,A Mission in an Old Movie,Ahmad El-Badri,25-Apr-19,2012,TV-MA,98 min
s206,Movie,A Monster Calls,J.A. Bayona,16-Jan-21,2016,PG-13,108 min
s207,Movie,A Most Violent Year,J.C. Chandor,22-Jul-18,2014,R,125 min
s208,Movie,A Murder in the Park,"Christopher S. Rech, Brandon Kimber",28-Apr-17,2014,PG-13,91 min
s209,Movie,A new Capitalism,,12-Jun-18,2017,TV-14,76 min
s210,Movie,A New York Christmas Wedding,Otoja Abit,5-Nov-20,2020,TV-MA,90 min
s211,Movie,A Night at the Roxbury,John Fortenberry,1-Dec-19,1998,PG-13,82 min
s212,Movie,A Noble Intention,Joram Lürsen,1-Sep-16,2015,TV-MA,111 min
s213,Movie,A Patch of Fog,Michael Lennox,15-Apr-17,2015,TV-MA,92 min
s214,TV Show,A Perfect Crime,,25-Sep-20,2020,TV-14,1 Season
s215,Movie,A Perfect Ending,Nicole Conn,1-Jan-19,2012,TV-MA,110 min
s216,Movie,A Perfect Man,Kees Van Oostrum,6-Jun-19,2013,R,94 min
s217,Movie,A Plastic Ocean,,4-Oct-19,2016,TV-14,100 min
s218,Movie,A Princess for Christmas,Michael Damian,28-Aug-20,2011,TV-PG,91 min
s219,TV Show,A Queen Is Born,Carla Barros,11-Nov-20,2020,TV-14,1 Season
s220,Movie,A Remarkable Tale,Marina Seresesky,1-Nov-19,2019,TV-MA,94 min
s221,Movie,A Russell Peters Christmas,Henry Sarwer-Foner,1-Nov-13,2011,NR,44 min
s222,Movie,A Scandall,Ishaan Trivedi,15-Oct-17,2016,TV-MA,108 min
s223,Movie,A Second Chance,Cathy Garcia-Molina,27-Feb-19,2015,TV-MA,130 min
s224,Movie,A Secret Love,Chris Bolan,29-Apr-20,2020,TV-14,83 min
s225,Movie,A Separation,Asghar Farhadi,16-Mar-19,2011,PG-13,123 min
s226,TV Show,A Series of Unfortunate Events,,1-Jan-19,2019,TV-PG,3 Seasons
s227,Movie,A Serious Man,"Ethan Coen, Joel Coen",16-Jan-18,2009,R,106 min
s228,Movie,A Shaun the Sheep Movie: Farmageddon,"Richard Phelan, Will Becher",14-Feb-20,2020,G,87 min
s229,Movie,A Silent Voice,Naoko Yamada,5-Jun-19,2016,TV-14,130 min
s230,Movie,A Single Man,Tom Ford,11-Nov-19,2009,R,100 min
s231,Movie,A Sort of Family,Diego Lerman,1-Apr-18,2017,TV-14,96 min
s232,Movie,A Sort of Homecoming,Maria Burton,1-Aug-17,2015,TV-PG,89 min
s233,Movie,A Stoning in Fulham County,Larry Elikann,1-Oct-11,1988,TV-14,95 min
s234,Movie,A StoryBots Christmas,"Evan Spiridellis, Jeff Gill",1-Dec-17,2017,TV-Y,26 min
s235,Movie,A Sun,Chung Mong-hong,24-Jan-20,2019,TV-MA,156 min
s236,TV Show,A Taiwanese Tale of Two Cities,,27-Jan-19,2018,TV-MA,1 Season
s237,Movie,A Tale of Love and Darkness,Natalie Portman,25-Oct-19,2015,PG-13,98 min
s238,Movie,A Tale of Two Kitchens,Trisha Ziff,22-May-19,2019,TV-PG,30 min
s239,Movie,A Thin Line Between Love & Hate,Martin Lawrence,1-Dec-20,1996,R,108 min
s240,TV Show,A Thousand Goodnights,,1-Jun-19,2019,TV-14,1 Season
s241,Movie,A Thousand Words,Brian Robbins,1-Jul-20,2012,PG-13,92 min
s242,TV Show,A Touch of Green,,1-Jul-20,2016,TV-MA,1 Season
s243,Movie,A Trash Truck Christmas,Eddie Rosas,11-Dec-20,2020,TV-Y,28 min
s244,Movie,A Trip to Jamaica,Robert O. Peters,13-Dec-19,2016,TV-MA,99 min
s245,Movie,A truthful Mother,Ravishankar Venkateswaran,31-Mar-20,2020,TV-Y7,85 min
s246,Movie,A Twelve Year Night,Álvaro Brechner,28-Dec-18,2018,TV-MA,122 min
s247,Movie,A Very Country Christmas,Justin G. Dyck,15-Nov-20,2017,TV-G,84 min
s248,Movie,A Very Murray Christmas,Sofia Coppola,4-Dec-15,2015,TV-14,57 min
s249,TV Show,A Very Secret Service,,30-Jul-18,2018,TV-MA,2 Seasons
s250,Movie,A Very Special Love,Cathy Garcia-Molina,12-Nov-20,2008,TV-G,107 min
s251,Movie,A Walk to Remember,Adam Shankman,1-Jul-20,2002,PG,102 min
s252,Movie,A Wednesday,Neeraj Pandey,1-Nov-18,2008,TV-MA,103 min
s253,Movie,A Week in Watts,Gregory Caruso,19-Feb-18,2017,TV-14,91 min
s254,Movie,A Whisker Away,"Junichi Sato, Tomotaka Shibayama",18-Jun-20,2020,TV-PG,104 min
s255,Movie,A Witches' Ball,Justin G. Dyck,1-Oct-18,2017,PG,91 min
s256,Movie,A Wrinkle in Time,Ava DuVernay,25-Sep-18,2018,PG,110 min
s257,TV Show,A Year In Space,,1-Nov-19,2015,TV-PG,1 Season
s258,Movie,A Yellow Bird,K. Rajagopal,1-May-17,2016,TV-MA,111 min
s259,TV Show,A Young Doctor's Notebook and Other Stories,,,2013,TV-MA,2 Seasons
s260,TV Show,A.D. Kingdom and Empire,,15-Dec-17,2015,TV-14,1 Season
s261,TV Show,A.I.C.O.,Kazuya Murata,9-Mar-18,2018,TV-14,1 Season
s262,Movie,A.M.I.,Rusty Nixon,1-Oct-20,2019,TV-MA,77 min
s263,Movie,A.X.L.,Oliver Daly,20-Mar-19,2018,PG,99 min
s264,Movie,Aşk Tesadüfleri Sever,Ömer Faruk Sorak,4-Apr-18,2011,TV-MA,122 min
s265,Movie,Aadu 2,Midhun Manuel Thomas,15-May-18,2017,TV-MA,150 min
s266,Movie,Aagey Se Right,Indrajit Nattoji,1-Nov-18,2009,TV-14,117 min
s267,Movie,Aajcha Divas Majha,Chandrakant Kulkarni,1-Jan-18,2013,TV-PG,126 min
s268,Movie,Aakhri Adaalat,Rajiv Mehra,1-Sep-17,1988,TV-14,148 min
s269,Movie,Aalorukkam,V C Abhilash,15-Nov-18,2018,TV-PG,122 min
s270,Movie,Aamir,Raj Kumar Gupta,1-Nov-18,2008,TV-14,95 min
s271,Movie,Aapla Manus,Satish Rajwade,10-Sep-20,2018,TV-14,133 min
s272,Movie,Aarakshan,Prakash Jha,31-Dec-19,2011,TV-14,164 min
s273,Movie,Aashayein,Nagesh Kukunoor,22-Oct-17,2010,TV-14,115 min
s274,Movie,Aashik Awara,Umesh Mehra,1-Jun-17,1993,TV-14,154 min
s275,Movie,Aata Pita,Uttung Shelar,1-Jan-18,2010,TV-14,133 min
s276,Movie,Aaviri,Ravi Babu,31-Dec-19,2019,TV-14,110 min
s277,TV Show,Abby Hatcher,Kyran Kelly,1-Jul-20,2019,TV-Y,1 Season
s278,Movie,Abby Sen,Atanu Ghosh,1-May-17,2015,TV-PG,127 min
s279,Movie,ABCD 2,Remo D'Souza,1-Nov-18,2015,TV-14,146 min
s280,Movie,ABCD: Any Body Can Dance,Remo D'Souza,1-Nov-18,2013,TV-14,136 min
s281,Movie,Abdo Mota,,19-Apr-19,2012,TV-MA,100 min
s282,Movie,Abducted in Plain Sight,Skye Borgman,15-Jan-19,2017,TV-14,90 min
s283,Movie,"Abdullah, The Final Witness",Hashim Nadeem Khan,15-Jan-19,2016,TV-14,88 min
s284,Movie,Abhinetri,A. L. Vijay,1-May-18,2016,TV-14,131 min
s285,TV Show,Abnormal Summit,"Jung-ah Im, Seung-uk Jo"," August 4, 2017",2017,TV-PG,2 Seasons
s286,Movie,Abominable Christmas,Chad Van De Keere,18-Feb-16,2012,TV-Y7,44 min
s287,Movie,About a Boy,"Chris Weitz, Paul Weitz",1-Feb-19,2002,PG-13,101 min
s288,Movie,About Time,Richard Curtis,16-Apr-19,2013,R,123 min
s289,TV Show,Abstract: The Art of Design,,25-Sep-19,2019,TV-14,2 Seasons
s290,TV Show,Absurd Planet,,22-Apr-20,2020,TV-PG,1 Season
s291,TV Show,Abyss,,7-May-19,2019,TV-14,1 Season
s292,Movie,Abzurdah,Daniela Goggi,25-Aug-16,2015,TV-MA,90 min
s293,Movie,Acapulco La vida va,Alfonso Serrano Maturino,3-Jun-17,2016,TV-MA,89 min
s294,Movie,Accident,Cheang Pou Soi,1-Dec-18,2009,TV-MA,87 min
s295,TV Show,Accidentally in Love,,19-Oct-18,2018,TV-14,1 Season
s296,Movie,Across Grace Alley,Ralph Macchio,1-Dec-16,2013,TV-PG,24 min
s297,Movie,Across The Line,Julien Christian Lutz,1-Apr-19,2015,TV-MA,88 min
s298,Movie,Across the Universe,Julie Taymor,1-Jan-19,2007,PG-13,133 min
s299,Movie,Act of Valor,"Mike McCoy, Scott Waugh",1-Jun-20,2012,R,110 min
s300,Movie,Act of Vengeance,Mahsun Kırmızıgül,29-Sep-18,2010,NR,112 min
s301,Movie,Action Replayy,Vipul Amrutlal Shah,11-May-20,2010,TV-PG,129 min
s302,Movie,Acts of Vengeance,Isaac Florentine,25-Jan-18,2017,R,87 min
s303,Movie,Acts of Violence,Brett Donowho,1-Aug-20,2018,R,87 min
s304,TV Show,Ad Vitam,,1-Nov-19,2018,TV-MA,1 Season
s305,Movie,Adú,Salvador Calvo,1-Jul-20,2020,TV-MA,120 min
s306,Movie,Adam Devine: Best Time of Our Lives,Jay Karas,18-Jun-19,2019,TV-MA,59 min
s307,TV Show,Adam Ruins Everything,,30-Sep-18,2018,TV-14,1 Season
s308,Movie,ADAM SANDLER 100% FRESH,Steve Brill,23-Oct-18,2018,TV-MA,74 min
s309,Movie,Adam: His Song Continues,Robert Markowitz,1-Oct-11,1986,TV-MA,96 min
s310,Movie,Addicted to Life,Thierry Donard,12-Jun-20,2014,TV-14,91 min
s311,Movie,Adel Karam: Live from Beirut,,1-Mar-18,2018,TV-MA,59 min
s312,Movie,Adhugo,,15-Jan-19,2018,TV-14,105 min
